name,Categoria,address,CodiceIdentificativo,telephone,email,website,iso3
Valfiore Carni,Aziende CerveteriOsterie CerveteriNegozi CerveteriNegozi di Alimentari Cerveteri,"Piazza Aldo Moro, 17, 00052 Cerveteri RM, Italia  ",948087,,,,
Caffè Di Pulcinella,Aziende CerveteriOsterie CerveteriNegozi CerveteriNegozi di Alimentari Cerveteri,"Via Ceretana, 6/a, 00052 Cerveteri RM, Italia  ",948088,06 6936 9693,,,
La Bottega Del Sorbo,Aziende CerveteriOsterie CerveteriNegozi CerveteriNegozi di Alimentari CerveteriSupermercati Cerveteri,"Via Settevene Palo, 330, 00052 Cerveteri RM, Italia  ",948089,06 9818 3174,,,
Dittamo Di Carla Lodato,Aziende CerveteriNegozi CerveteriNegozi di Abbigliamento Cerveteri,"Via delle Mura Castellane, 24, 00052 Cerveteri RM, Italia  ",941396,,,,
Laedil Srl,Aziende CerveteriNegozi Cerveteri,"Via Ammazzalamorte, 6, 00052 Cerveteri RM, Italia  ",932531,06 994 3590,,,
Luciano Badini Arredamenti,Aziende CerveteriNegozi CerveteriNegozi di casalinghi CerveteriNegozi di arredamento Cerveteri,"Via delle Mura Castellane, 62, 00052 Cerveteri RM, Italia  ",932532,06 994 0685,,,
VOBIS,Aziende CerveteriNegozi CerveteriNegozi di elettronica Cerveteri,"Cerveteri RM, Italia  ",919296,,,,
Dott. Angelo manciocchi,Aziende CerveteriErboristerie CerveteriMedici Cerveteri,"Via Marche, 5, 00052 Cerveteri RM, Italia  ",917472,380 303 5195,,,
Dott.ssa Margherita Fischetti GINECOLOGA,Aziende CerveteriErboristerie CerveteriMedici Cerveteri,"Viale A.Manzoni, 82, 00052 Cerveteri RM, Italia  ",917473,328 278 5788,,,
Studio Urologico Dott. Gabriella Mirabile,Aziende CerveteriErboristerie CerveteriMedici Cerveteri,"Via Vittorio Veneto, 2, 00052 Cerveteri RM, Italia  ",917474,06 9955 1155,,,
ASD Ftp Functional Training,Aziende CerveteriErboristerie CerveteriPalestre Cerveteri,"Cerveteri RM, Italia  ",909598,338 610 3015,,,
Assicurazioni Generali,Aziende CerveteriAgenzie di assicurazione Cerveteri,"Via Ceretana, 55, 00052 Cerveteri RM, Italia  ",905497,06 994 3568,,,
Assicurazioni Toro Pisanelli Viviana,Aziende CerveteriAgenzie di assicurazione Cerveteri,"Piazza Risorgimento, 4, 00052 Cerveteri RM, Italia  ",905498,06 995 3431,,,
La Sciuscella - Taverna Vegetariana,Aziende CerveteriRistoranti CerveteriOsterie Cerveteri,"Vicolo Bastioni, 2, 00052 Cerveteri RM, Italia  ",888981,392 334 9048,,,
Quintet Pub,Aziende CerveteriRistoranti CerveteriOsterie Cerveteri,"Via Francesco Rosati, 23, 00052 Cerveteri RM, Italia  ",888982,,,,
Il Punto Pizza,Aziende CerveteriRistoranti CerveteriOsterie Cerveteri,"Via delle Mura Castellane, 62, 00052 Cerveteri RM, Italia  ",888983,06 994 2610,,,
Ristorante Acli,Aziende CerveteriRistoranti CerveteriOsterie Cerveteri,"Via Drizzagno, 17, 00052 Cerveteri RM, Italia  ",888984,,,,
"Antica pizzeria dal 1978 ""Da Marzio""",Aziende CerveteriRistoranti CerveteriOsterie Cerveteri,"Via Roma, 10, 00052 Cerveteri RM, Italia  ",888979,06 994 0036,,,
La Piccola Trattoria Roma,Aziende CerveteriRistoranti CerveteriOsterie Cerveteri,"Via Armando Diaz, 18, 00052 Cerveteri RM, Italia  ",888980,320 711 0920,,,
Mercatino del Cellulare,Aziende CerveteriNegozi CerveteriNegozi di elettronica Cerveteri,"Via Settevene Palo, 149, 00052 Cerveteri RM, Italia  ",882228,06 995 1551,,,
Bar Etrusco,Aziende CerveteriOsterie CerveteriNegozi CerveteriTrattorie Cerveteri,"Via Tarquinia, 4, 00052 Cerveteri RM, Italia  ",877158,,,,
Mamma Mia,Aziende CerveteriRistoranti CerveteriOsterie Cerveteri,"Viale Alessandro Manzoni, 54, 00185 Roma, Italia  ",877155,06 9436 6851,,,
Frutteria,Aziende CerveteriOsterie CerveteriNegozi Cerveteri,"Via Col di Lana, 3, 00052 Cerveteri RM, Italia  ",877156,,,,
Fragranza Del Pane Srl,Aziende CerveteriOsterie Cerveteri,"Piazza Aldo Moro, 15, Cerveteri RM, Italia  ",877157,06 994 3167,,,
Osteria Cacio e Pepe,Aziende CerveteriRistoranti CerveteriOsterie Cerveteri,"Via Settevene Palo, 159, 00052 Cerveteri RM, Italia  ",877153,333 430 7045,,,
Molino Coletta Dal 1954,Aziende CerveteriOsterie Cerveteri,"Via Ceretana, 4, 00052 Cerveteri RM, Italia  ",877154,06 994 3566,,,
Da Bibbo osteria rivisitata,Aziende CerveteriRistoranti CerveteriOsterie Cerveteri,"Via Agillina, 41, 00052 Cerveteri RM, Italia  ",877151,388 659 8858,,,
Arià - Osteria di Fuori Porta,Aziende CerveteriRistoranti CerveteriOsterie Cerveteri,"Via della Necropoli, 2, 00052 Cerveteri RM, Italia  ",877152,389 675 6950,,,
La.se.a. srl,Aziende CerveteriOsterie Cerveteri,"Via Giovanni Pascoli, 3, Cerveteri RM, Italia  ",877149,06 994 1985,,,
Barrel Osteria nel Borgo,Aziende CerveteriRistoranti CerveteriOsterie Cerveteri,"Piazza Risorgimento, 16, 00052 Cerveteri RM, Italia  ",877150,06 995 3252,,,
Parcheggio del Cimitero,Aziende CerveteriParcheggi Cerveteri,"Parcheggio del Cimitero, Via Francesco Rosati, 00052 Cerveteri RM, Italia  ",875092,,,,
Blues Open Cafè,Aziende CerveteriBar Cerveteri,"Via Settevene Palo, 224, 00052 Cerveteri RM, Italia  ",870460,,,,
Citroen ROMA : SINI MOTOR SPORT SRL,Aziende CerveteriNegozi CerveteriConcessionarie Auto CerveteriMeccanici Auto Cerveteri,"VIA A. MORO 35, 00055 ROMA, Italia  ",868188,06 994 9780,,,
Profumeria Franca,Aziende CerveteriNegozi CerveteriNegozi di Abbigliamento Cerveteri,"Via Settevene Palo, 171, Cerveteri RM, Italia  ",867578,06 995 1581,,,
B.S.Moda Di Ercoletti Speronella,Aziende CerveteriNegozi CerveteriNegozi di Abbigliamento Cerveteri,"Via S. Maria, Cerveteri RM, Italia  ",867577,06 994 2516,,,
Dottoressa Aschettino,Aziende CerveteriErboristerie CerveteriMedici Cerveteri,"Viale Alessandro Manzoni, 82, 00052 Cerveteri RM, Italia  ",867163,,,,
Casale del tiglio,Aziende CerveteriAlberghi Cerveteri,"Via Settevene Palo, 344, 00052 Cerveteri RM, Italia  ",859969,328 586 7373,,,
Foto Otttica Etrusca Di Lupica Lucia,Aziende CerveteriErboristerie CerveteriNegozi Cerveteri,"Via Etruria, 1, 00052 Cerveteri RM, Italia  ",854434,06 994 2127,,,
Farmacia Comunale 1,Aziende CerveteriErboristerie CerveteriNegozi CerveteriFarmacie Cerveteri,"Piazza Risorgimento, 21, 00052 Cerveteri RM, Italia  ",854433,06 994 0006,,,
Maria S.r.l.,Aziende CerveteriNegozi CerveteriNegozi di Abbigliamento Cerveteri,"Via delle Mura Castellane, 32, Cerveteri RM, Italia  ",840760,06 994 3346,,,
Parcheggio del Cimitero,Aziende CerveteriParcheggi Cerveteri,"Parcheggio del Cimitero, Via Francesco Rosati, 00052 Cerveteri RM, Italia  ",836714,,,,
Enerpetroli Srl,Aziende CerveteriDistributori di benzina Cerveteri,"Via Furbara Sasso, 00052 Cerveteri RM, Italia  ",836549,06 9932 0155,,,
Motors Planet Assistenza Auto e Moto Cerveteri,Aziende CerveteriMeccanici Auto Cerveteri,"Via Settevene Palo, 196, 00052 Cerveteri RM, Italia  ",832915,06 994 3582,,,
REFIN CASA,Aziende CerveteriAgenzie Immobiliari Cerveteri,"Viale Alessandro Manzoni, 49, 00052 Cerveteri RM, Italia  ",817241,327 979 6924,,,
Gruppo Toscano S.p.A. - Cerveteri (Punto Immobiliare Cerveteri Srl),Aziende CerveteriAgenzie Immobiliari Cerveteri,"4, Via delle Mura Castellane, 2, 00052 Cerveteri RM, Italia  ",817238,06 9955 1103,,,
Frimm Etrusca Immobiliare Etrusc@Cerveteri S.R.L.,Aziende CerveteriAgenzie Immobiliari Cerveteri,"Via delle Mura Castellane, 22, Cerveteri RM, Italia  ",817239,06 9955 1105,,,
Agenzia Immobiliare Obycasa CERVETERI,Aziende CerveteriAgenzie Immobiliari Cerveteri,"Via delle Mura Castellane, 46/A, 00052 Cerveteri RM, Italia  ",817240,06 994 2933,,,
Baldi Immobiliare,Aziende CerveteriAlberghi CerveteriAgenzie Immobiliari Cerveteri,"Via Ceretana, 49, 00052 Cerveteri RM, Italia  ",817237,06 995 1069,,,
Immobiliare Malu' Fondazione Alda 1898 Di D'Ubaldo S. S.N.C.,Aziende Cerveteri,"Via delle Mura Castellane, 46/b, Cerveteri RM, Italia  ",803202,347 816 0380,,,
Sistem Tech Srl,Aziende Cerveteri,"Via S. Angelo, 41, Cerveteri RM, Italia  ",799332,06 994 2948,,,
Italian Bus Travel Srl,Aziende Cerveteri,"1 Via Pica, Cerveteri, RM 00052, Italia  ",799333,06 8865 4151,,,
M R Service srl,Aziende Cerveteri,"Via Rosati, 6, 00052 Cerveteri RM, Italia  ",799334,06 9893 7441,,,
Tomba degli Scudi e delle Sedie VII Sec. A. C. - Necropoli della Banditaccia,Aziende Cerveteri,"Cerveteri RM, Italia  ",799328,,,,
Tomba dei Letti Funebri - Necropoli della Banditaccia,Aziende Cerveteri,"Cerveteri RM, Italia  ",799329,,,,
Garofalo Catiuscia Professionecasa Cerveteri,Aziende Cerveteri,"Via Settevene Palo, 147, 00052 Cerveteri RM, Italia  ",799330,06 994 0726,,,
R.C.S. Immobiliare S.R.L.,Aziende Cerveteri,"Via Settevene Palo, 232, 00052 Cerveteri RM, Italia  ",799331,06 9955 1120,,,
Istituti di bellezza Sherasade,Aziende CerveteriTerme Cerveteri,"Via Settevene Palo, 135, Cerveteri RM, Italia  ",797649,06 994 0959,,,
caere viaggi ticket,Aziende CerveteriNegozi Cerveteri,"Piazza Aldo Moro, 16, 00052 Cerveteri RM, Italia  ",789694,06 994 2860,,,
Giesse 84 S.R.L.,Aziende CerveteriElettricisti Cerveteri,"Via S. Angelo, 54, Cerveteri RM, Italia  ",774380,06 995 2498,,,
Maselli Avv. Nicola,Aziende CerveteriIstituti finanziari Cerveteri,"Piazza Vicinatello, 10, Cerveteri RM, Italia  ",747839,06 994 0037,,,
M.B.Center Consult 2007 Srl,Aziende CerveteriIstituti finanziari Cerveteri,"Via Settevene Palo, 203, Cerveteri RM, Italia  ",747840,06 994 3056,,,
Banca Intesa Sanpaolo,Aziende CerveteriBancomat CerveteriIstituti finanziari CerveteriBanche Cerveteri,"Via Armando Diaz, Cerveteri RM, Italia  ",747836,06 9955 1500,,,
Affiliato Tecnocasa Cerveteri Mediazioni S.R.L. A Capitale Ridotto,Aziende CerveteriIstituti finanziari CerveteriAgenzie Immobiliari Cerveteri,"Via Ceretana, 53, 00052 Cerveteri RM, Italia  ",747837,06 9558 7039,,,
Taddei Dr. Alessandro,Aziende CerveteriIstituti finanziari Cerveteri,"Via Settevene Palo, 219, 00052 Cerveteri RM, Italia  ",747838,06 994 0762,,,
Sensini Cesira,Aziende CerveteriNegozi CerveteriGioiellerie Cerveteri,"Via Agillina, 15, Cerveteri RM, Italia  ",733166,06 994 3195,,,
Un Soffio Di Bellezza Snc Di Cicciarelli C. E Seri S.,Aziende CerveteriSaloni di Bellezza Cerveteri,"Viale Alessandro Manzoni, 52, Cerveteri RM, Italia  ",729890,06 995 2001,,,
Danieli Coltura Di Ciarciaglino Rita & C.S.A.S.,Aziende CerveteriNegozi CerveteriNegozi di casalinghi CerveteriNegozi di elettronica Cerveteri,"Via S. Angelo, 13, Cerveteri RM, Italia  ",711562,06 995 3075,,,
Foto Ottica Etrusca Di Lupica Lucia,Aziende CerveteriNegozi CerveteriNegozi di casalinghi CerveteriNegozi di elettronica Cerveteri,"1, Via Etruria, Cerveteri, RM 00052, Italia  ",711561,06 994 2127,,,
Biblioteca Comunale,Aziende CerveteriBiblioteche Cerveteri,"Via Francesco Rosati, 00052 Cerveteri RM, Italia  ",711339,,,,
Di Giuseppe Emiliano,Aziende CerveteriMeccanici Auto Cerveteri,"Viale Alessandro Manzoni, 39, Cerveteri RM, Italia  ",705137,06 994 1016,,,
Istituto Tecnico Commerciale,Aziende CerveteriScuole Cerveteri,"Via Piave, 22, Cerveteri RM, Italia  ",700452,06 9980 3436,,,
Il Ghiottone Di Rita Demaria,Aziende CerveteriBar Cerveteri,"2 Localita' Campo Di Mare, Cerveteri, RM 00052, Italia  ",699673,06 990 2533,,,
Fantasia 2003 Sas Di Ghelarducci Barbara & C.,Aziende CerveteriBar Cerveteri,"Piazza Risorgimento, 12, Cerveteri RM, Italia  ",699674,06 994 3140,,,
Mezzopane E C. S.A.S. Di Mezzopane Felicia,Aziende CerveteriBar Cerveteri,"Via Settevene Palo, 167, 00052 Cerveteri RM, Italia  ",699672,06 9955 2694,,,
Coop Produttori E Allevatori Di Bestiame I Terzi A R.L.,Aziende CerveteriOsterie Cerveteri,"9 Localita' I Terzi, Cerveteri, RM 00052, Italia  ",698719,06 9920 5120,,,
Alimentari Di Giorgio Marcello,Aziende CerveteriOsterie CerveteriNegozi CerveteriNegozi di Alimentari Cerveteri,"13 Localita' I Terzi, Cerveteri, RM 00052, Italia  ",698155,06 9920 5065,,,
Pasticceria Dolci Incontri Si.Da.Ca. Snc Di Simone E Daniela Campoli,Aziende CerveteriOsterie CerveteriNegozi CerveteriPanetterie Cerveteri,"Via Settevene Palo, 265, Cerveteri RM, Italia  ",690190,06 6401 2242,,,
Valentina D.M. Srl,Aziende CerveteriOsterie CerveteriNegozi CerveteriPanetterie Cerveteri,"Viale Alessandro Manzoni, 66, Cerveteri RM, Italia  ",690191,06 995 1570,,,
Si.Ste. Di Sebastiani Bruno E C. S.N.C.,Aziende CerveteriOsterie CerveteriNegozi CerveteriPanetterie Cerveteri,"Via Settevene Palo, 200, 00052 Cerveteri RM, Italia  ",690192,06 995 1718,,,
"Centro di Fisioterapia e Kinesiterapia ""San Pietro""",Aziende CerveteriErboristerie Cerveterifisioterapista Cerveteri,"Via Piave, 35, 00052 Cerveteri RM, Italia  ",687936,06 995 2583,,,
Tenuta Ardeatina Soc.Coop.Arl,Aziende CerveteriErboristerie CerveteriNegozi Cerveteri,"Largo Guido Rossa, 1, Cerveteri RM, Italia  ",687937,06 994 0650,,,
Comune Di Cerveteri,Municipi CerveteriUffici Comunali CerveteriAziende Cerveteri,"Via Settevene Palo, 322, Cerveteri RM, Italia  ",682937,06 994 3960,,,
Comune,Municipi CerveteriUffici Comunali CerveteriAziende Cerveteri,"Piazza Risorgimento, 3, Cerveteri RM, Italia  ",682938,06 994 0042,,,
Caere Odontoiatrica Di Di Bartolomeo Alessandro E C. Sas,Aziende CerveteriErboristerie CerveteriDentisti Cerveteri,"Via S. Pietro, 1, Cerveteri RM, Italia  ",682412,06 994 3563,,,
Beauty Ciak Center Di Flavio Santolamazza,Aziende CerveteriParrucchieri Cerveteri,"Via Settevene Palo, 136, 00052 Cerveteri RM, Italia  ",679444,06 994 3424,,,
Prodotti Finanziari Area Prodotti Finanza,Aziende CerveteriIstituti finanziari CerveteriUffici postali Cerveteri,"Via Settevene Palo, 214, 00052 Cerveteri RM, Italia  ",678165,06 994 1565,,,
Shoes & Sport Di Nazzarena Ilari,Aziende CerveteriNegozi CerveteriNegozi di scarpe Cerveteri,"Viale Alessandro Manzoni, 20, Cerveteri RM, Italia  ",677352,06 994 3457,,,
Fiorini Sergio,Aziende CerveteriNegozi CerveteriNegozi di scarpe Cerveteri,"Via S. Maria, 16, Cerveteri RM, Italia  ",677353,06 994 3034,,,
Ruzzetta Arredamenti S.R.L.,Aziende CerveteriNegozi CerveteriNegozi di casalinghi CerveteriNegozi di arredamento Cerveteri,"Via Necropoli, 18, Cerveteri RM, Italia  ",675400,06 995 2332,,,
Comune Di Cerveteri,Municipi CerveteriUffici Comunali CerveteriAziende Cerveteri,"Piazza Risorgimento, 1, Cerveteri RM, Italia  ",670523,06 896301,,,
Chicco,Aziende CerveteriNegozi CerveteriNegozi di Abbigliamento Cerveteri,"Via Settevene Palo, 61, 00052 Cerveteri, Italia  ",668419,06 994 0654,,,
Comune Di Cerveteri,Municipi CerveteriUffici Comunali CerveteriAziende Cerveteri,"Piazza Risorgimento, 1, Cerveteri RM, Italia  ",663734,06 896301,,,
Giardini della Rimembranza,Aziende CerveteriParchi Cerveteri,"Cerveteri RM, Italia  ",657920,,,,
Parco Pubblico della Legnara,Aziende CerveteriParchi Cerveteri,"Città Metropolitana di Roma, Italia  ",657921,,,,
"Parco ""Martiri delle Foibe""",Aziende CerveteriParchi Cerveteri,"Cerveteri RM, Italia  ",657922,,,,
Oratorio S. Michele Arcangelo,Aziende CerveteriParchi Cerveteri,"Via Armando Diaz, 00052 Cerveteri RM, Italia  ",657919,,,,
Immobiliare 2A,Aziende CerveteriAgenzie Immobiliari Cerveteri,"Via Settevene Palo, 145, 00052 Cerveteri RM, Italia  ",647076,06 994 3026,,,
ag. immobiliare cerveteri-cerenova srl,Aziende CerveteriIstituti finanziari CerveteriAgenzie Immobiliari Cerveteri,"Via Ceretana, 53, 00052 Cerveteri RM, Italia  ",647077,06 994 3284,,,
Solo Affitti Cerveteri,Aziende CerveteriAgenzie Immobiliari Cerveteri,"Via Ceretana, 8, Cerveteri RM, Italia  ",647078,06 994 2932,,,
frimm cerveteri cerenova ladispoli,Aziende CerveteriAgenzie Immobiliari Cerveteri,"Via delle Mura Castellane n 22, 00052 Cerveteri RM, Italia  ",647075,06 9908 3517,,,
Pitture Edili Di Contigliozzi Roberto,Aziende CerveteriImbianchini Cerveteri,"Via Monte Grappa, 15, 00052 Cerveteri RM, Italia  ",644346,335 837 9476,,,
Notaio Vincenzo Ferrara,Aziende CerveteriAvvocati Cerveteri,"Via Roma, 6, 00052 Cerveteri RM, Italia  ",642427,06 324 1836,,,
Banco Metalli Italiano Spa,Aziende CerveteriIstituti finanziari CerveteriBanche Cerveteri,"Via delle Mura Castellane, 26, Cerveteri RM, Italia  ",641452,06 9955 1973,,,
Clo's Coffee Bar,Aziende CerveteriOsterie CerveteriBar CerveteriTrattorie Cerveteri,"Via Martiri delle Foibe, 00052 Cerveteri RM, Italia  ",637936,,,,
Caereplastic di Quirino Tantari,Aziende CerveteriNegozi Cerveteri,"Via Madonna dei Canneti, 32, 00052 Cerveteri RM, Italia  ",635226,340 533 8687,,,
Dr. Segnini Daniele Dr. Segnini Daniele,Aziende CerveteriOspedali Cerveteri,"Via Rosa Calabresi, 10, 00052 Cerveteri RM, Italia  ",630693,06 9955 1304,,,
Residenza Napoleone III,Aziende CerveteriAlberghi Cerveteri,"Palazzo Ruspoli, Piazza Santa Maria, 00052 Roma, Italia  ",596471,06 6880 8083,,,
A casa di Anna,Aziende CerveteriAlberghi Cerveteri,"Largo della Boccetta, 5, 00052 Cerveteri RM, Italia  ",596469,392 954 4940,,,
Cocoon Residenze,Aziende CerveteriAlberghi Cerveteri,"Via Settevene Palo, 162, Cerveteri RM, Italia  ",596470,06 9955 1528,,,
La Boccetta Cornici,Aziende CerveteriNegozi Cerveteri,"Largo della Boccetta, 2, 00052 Cerveteri RM, Italia  ",590976,06 995 2243,,,
agenzia immobiliare s.r.l.,Aziende CerveteriIstituti finanziari CerveteriAgenzie Immobiliari Cerveteri,"Via delle Mura Castellane, 46/A, 00052 Cerveteri RM, Italia  ",590941,06 994 1849,,,
Unicredit,Aziende CerveteriBancomat CerveteriIstituti finanziari CerveteriBanche Cerveteri,"Via Settevene Palo, 217, 00052 Cerveteri RM, Italia  ",590942,06 8782 7005,,,
Farmacia Comunale 5,Aziende CerveteriErboristerie CerveteriNegozi CerveteriFarmacie Cerveteri,"Via Settevene Palo, 81, Cerveteri RM, Italia  ",590456,06 9955 0155,,,
