name,Categoria,address,CodiceIdentificativo,telephone,email,website,iso3
Chiesa dei Santi Apostoli Pietro e Paolo,Aziende Guidonia MontecelioChiese Guidonia MontecelioLuoghi di culto Guidonia Montecelio,"Largo Giovanni XXIII,, 2, 88055 Albi CZ, Italy - 88055 Guidonia Montecelio (RM)  ",1067906,,,,
Scuola Primaria Mons. Nicola Canino,Aziende Guidonia MontecelioScuole Guidonia Montecelio,"Via Kennedy, 6, 88055 Albi CZ, Italy - 88055 Guidonia Montecelio (RM)  ",1067907,,,,
Macelleria,Aziende Guidonia MontecelioOsterie Guidonia MontecelioNegozi Guidonia Montecelio,"88055 Albi Province of Catanzaro, Italy - 88055 Guidonia Montecelio (RM)  ",1067908,,,,
Puleo Roberto,Aziende Guidonia MontecelioOsterie Guidonia Montecelio,"Via Vittorio Veneto, 1, 88055 Albi CZ, Italy - 88055 Guidonia Montecelio (RM)  ",1067909,0961 921030,,,
Osteria San Nicola,Aziende Guidonia MontecelioRistoranti Guidonia MontecelioOsterie Guidonia Montecelio,"Via Aldo Moro, 4, 88055 Albi CZ, Italy - 88055 Guidonia Montecelio (RM)  ",1067900,334 905 4870,,,
"Compagnia Teatrale ""Tutto Esauriti""",Aziende Guidonia Montecelio,"Viale Trieste, 162, 88055 Albi CZ, Italy - 88055 Guidonia Montecelio (RM)  ",1067901,334 502 5092,,,
Ottega Della Carne,Aziende Guidonia MontecelioOsterie Guidonia MontecelioNegozi Guidonia Montecelio,"Via Asmara, 32, 88055 Albi CZ, Italy - 88055 Guidonia Montecelio (RM)  ",1067903,,,,
Farmacia Ierullo Dott. Giuseppe,Aziende Guidonia MontecelioErboristerie Guidonia MontecelioNegozi Guidonia MontecelioFarmacie Guidonia Montecelio,"Via Asmara, 3, 88055 Albi CZ, Italy - 88055 Guidonia Montecelio (RM)  ",1067904,0961 924825,,,
BEVACQUA ELETTRODOMESTICI,Aziende Guidonia MontecelioNegozi Guidonia MontecelioNegozi di casalinghi Guidonia Montecelio,"Via Dr. N. Corea, 31, 88055 Albi CZ, Italy - 88055 Guidonia Montecelio (RM)  ",1067898,328 021 3292,,,
Tenute Santacroce,Aziende Guidonia MontecelioOsterie Guidonia Montecelio,"Via C. Battisti, 16, 88055 Albi CZ, Italy - 88055 Guidonia Montecelio (RM)  ",1067899,0961 738332,,,
Corea Arredamenti,Aziende Guidonia MontecelioNegozi Guidonia MontecelioNegozi di casalinghi Guidonia MontecelioNegozi di arredamento Guidonia Montecelio,"2/bis, Viale Trieste, 88055 Albi CZ, Italy - 88055 Guidonia Montecelio (RM)  ",1067897,338 715 2014,,,
Vacchelli Geom. Alessandro,Aziende Grottaferrata,"Via Sabbiata, 19, 26010 Sabbiata CR, Italy - 26010 Grottaferrata (RM)  ",1067284,338 566 8339,,,
Municipio Di Pentone Scuola Materna,Municipi GorgaUffici Comunali GorgaAziende Gorga,"88050 Pentone, Province of Catanzaro, Italy - 88050 Gorga (RM)  ",1066171,0961 925641,,,
Rubino Grazia,Aziende Gorga,"88050 Pentone, Province of Catanzaro, Italy - 88050 Gorga (RM)  ",1066172,0961 925500,,,
Gareri Dr. Luigi Farmacia,Aziende GorgaErboristerie GorgaNegozi GorgaFarmacie Gorga,"Corso De Laurenzi Reverendo, 52, 88050 Pentone CZ, Italy - 88050 Gorga (RM)  ",1066165,0961 925051,,,
"Protezione Civile ""Angeli Della Sila",Aziende Gorga,"6,, Via Moro A., 4, 88050 Pentone CZ, Italy - 88050 Gorga (RM)  ",1066166,0961 191 5473,,,
Capicotto Angelina Fiorina,Aziende GorgaNegozi Gorga,"Corso de Laurenzi Reverendo V, 43, 88050 Pentone CZ, Italy - 88050 Gorga (RM)  ",1066167,0961 925182,,,
Number One,Aziende Gorga,"88050 Pentone, Province of Catanzaro, Italy - 88050 Gorga (RM)  ",1066168,,,,
Tabacchi,Aziende Gorga,"88050 Pentone, Province of Catanzaro, Italy - 88050 Gorga (RM)  ",1066169,,,,
Dental M Group S.A.S Di Raffaele Mirenzi & C.,Aziende GorgaErboristerie Gorga,"Via Aldo Moro, 22, 88050 Pentone CZ, Italy - 88050 Gorga (RM)  ",1066170,0961 925350,,,
Municipio,Municipi GorgaUffici Comunali GorgaAziende Gorga,"Corso de Laurenzi Reverendo V., 7, 88050 Pentone CZ, Italy - 88050 Gorga (RM)  ",1066160,0961 925076,,,
Comune Di Pentone,Municipi GorgaUffici Comunali GorgaAziende Gorga,"Corso De Laurenzi Reverendo, 56, 88050 Pentone CZ, Italy - 88050 Gorga (RM)  ",1066161,0961 925648,,,
Time Out Bar,Aziende Gorga,"88050 Pentone, Province of Catanzaro, Italy - 88050 Gorga (RM)  ",1066162,,,,
Consorzio Giubileo 2000,Aziende Gorga,"Corso de Laurenzi Reverendo V, 56, 88050 Pentone CZ, Italy - 88050 Gorga (RM)  ",1066163,0961 925120,,,
Italian Post Office Post,Aziende GorgaIstituti finanziari GorgaUffici postali Gorga,"Corso Reverendo Vincenzo de Laurenzi, 56, 88050 Pentone CZ, Italy - 88050 Gorga (RM)  ",1066164,0961 925536,,,
Onoranze Funebri F.Lli Ranieri & Gulla' Onoranze Funebri Fratelli Ranieri,Aziende GorgaPompe funebri Gorga,"17/19, CORSO DE LAURENTI, Pentone, CZ 88050, 88050 Pentone CZ, Italy - 88050 Gorga (RM)  ",1066154,329 889 2202,,,
Azienda Sanitaria Provinciale Di Catanzaro,Aziende GorgaErboristerie Gorga,"Corso de Laurenzi Reverendo V, 49, 88050 Pentone CZ, Italy - 88050 Gorga (RM)  ",1066155,0961 925041,,,
Studio Aurelio Miriello,Aziende GorgaIstituti finanziari Gorga,"Corso De Laurenzi Reverendo V., 88050 Pentone CZ, Italy - 88050 Gorga (RM)  ",1066156,0961 925469,,,
STUDIO DE.GI.,Aziende GorgaIstituti finanziari Gorga,"Via dei Bruzi, 8, 88050 Pentone CZ, Italy - 88050 Gorga (RM)  ",1066157,0961 762949,,,
Globe Office Di Pullano Filippo,Aziende Gorga,"Via del Risorgimento, 21, 88050 Pentone CZ, Italy - 88050 Gorga (RM)  ",1066158,0961 925429,,,
Fastenseit,Aziende Roma,Via Trento e Trieste 22  ,1065063,0695479000,fastenseit[at]itala.net,https://www.fastenseit.com/,
Il Fiorile,Aziende Genzano di RomaAlberghi Genzano di RomaRistoranti Genzano di RomaOsterie Genzano di Roma,"Via XXV Aprile, 6, 15060 Castel Dè Ratti AL, Italy - 15060 Genzano di Roma (RM)  ",1064824,0143 697303,,,
Scuola Materna Capanne,Aziende GenazzanoScuole Genazzano,"Via Carlo Sforza, 39, 54038 Capanne MS, Italy - 54038 Genazzano (RM)  ",1064761,0585 340262,,,
"Heart Hospital ""Gaetano Pasquinucci""",Aziende AricciaErboristerie AricciaOspedali Ariccia,"Via Aurelia Sud, 54100 Massa MS, Italy - 54100 Ariccia (RM)  ",1064755,0585 493617,,,
Albergo Bel Soggiorno S.N.C.,Aziende GavignanoAlberghi Gavignano,"Viale Pietro Caremoli, 12, 28824 Gonte Oggebbio VB, Italy - 28824 Gavignano (RM)  ",1064526,0323 48114,,,
Trial Services,Aziende FrascatiElettricisti Frascati,"Via Matteotti, 4/d, 25030 Trenzano BS, Italy - 25030 Frascati (RM)  ",1063477,335 656 1984,,,
Medi - Service s.r.l.,Aziende FrascatiErboristerie Frascati,"Via Trento, 26, 25030 Trenzano BS, Italy - 25030 Frascati (RM)  ",1063476,030 997 4787,,,
Bernardini Agostino,Aziende Gallicano nel Lazio,"Str. per Bozzole, 5, 15040 Pomaro Monferrato AL, Italy - 15040 Gallicano nel Lazio (RM)  ",1063453,0142 60327,,,
Cucinando Di Leonardo Romiti,Aziende Arcinazzo RomanoOsterie Arcinazzo Romano,"Via Carlo Sorcinelli, 1, 62100 Macerata MC, Italy - 62100 Arcinazzo Romano (RM)  ",1063289,333 706 6400,,,
Uffici giudiziari,Aziende Arcinazzo RomanoPalazzi di giustizia Arcinazzo Romano,"Via Weiden, 8, 62100 Macerata MC, Italy - 62100 Arcinazzo Romano (RM)  ",1063287,0733 236058,,,
New Eco Italia Group Snc,Aziende Frascati,"Via V. Veneto Mattina, 2M, 25030 Trenzano BS, Italy - 25030 Frascati (RM)  ",1062031,030 997 1638,,,
Prestige S.R.L. Impresa Edile,Aziende Frascati,"Via A. Moro, 5, 25030 Trenzano BS, Italy - 25030 Frascati (RM)  ",1062032,030 997 4572,,,
Sub Agenzia Reale Mutua di Assicurazioni Bregoli Roberto & Bregoli Marco S.A.S.,Aziende FrascatiAgenzie di assicurazione Frascati,"Via Trento, 3/E, 25030 Trenzano BS, Italy - 25030 Frascati (RM)  ",1062033,030 997 7785,,,
PALAZZANI COSTRUZIONI S.r.l.,Aziende Frascati,"Via Trento, 3, 25030 Trenzano BS, Italy - 25030 Frascati (RM)  ",1062034,030 997 7080,,,
Active Engineering di ing. Alessandro Bonamano,Aziende Frascati,"Via Belzagno, 20, 25030 Trenzano BS, Italy - 25030 Frascati (RM)  ",1062030,030 733484,,,
Comune Di Trenzano,Uffici Comunali FrascatiAziende Frascati,"Via Vittorio Emanuele II, 1, 25030 Trenzano BS, Italy - 25030 Frascati (RM)  ",1062026,030 970 9300,,,
PEC s.r.l.,Aziende Frascati,"Via Trento, 2, 25030 Trenzano BS, Italy - 25030 Frascati (RM)  ",1062027,030 997 4335,,,
Ambulanza Trenzano,Aziende FrascatiErboristerie FrascatiOspedali Frascati,"Via Coniglio, 29, 25030 Trenzano BS, Italy - 25030 Frascati (RM)  ",1062028,030 997 7860,,,
Arcadia,Aziende Frascati,"Via Fiume, 1/C, 25030 Trenzano BS, Italy - 25030 Frascati (RM)  ",1062019,030 997 7316,,,
Ivan Coiffeur Trenzano,Aziende FrascatiErboristerie FrascatiParrucchieri Frascati,"Via Don G. Pietta, 5, 25030 Trenzano BS, Italy - 25030 Frascati (RM)  ",1062020,339 437 4099,,,
SISTEMI ELETTRICI NODARI S.N.C.,Aziende Frascati,"Via Trento, 26/B, 25030 Trenzano BS, Italy - 25030 Frascati (RM)  ",1062021,030 997 4066,,,
MoneyGram,Aziende FrascatiIstituti finanziari Frascati,"Via Roma, 1, 25030 Trenzano BS, Italy - 25030 Frascati (RM)  ",1062022,030 997 7008,,,
Nomos Engineering,Aziende Frascati,"Via Fiume, 1/C, 25030 Trenzano BS, Italy - 25030 Frascati (RM)  ",1062023,030 997 4033,,,
Rinaldi Fernando,Aziende Frascati,"Via Cesare Battisti, 4, 25030 Trenzano BS, Italy - 25030 Frascati (RM)  ",1062024,030 997 7259,,,
Agricola Noli S.r.l.,Aziende FrascatiOsterie FrascatiNegozi Frascati,"Via Roma, 32, 25030 Trenzano BS, Italy - 25030 Frascati (RM)  ",1062025,030 997 7058,,,
Credito Bergamasco,Aziende FrascatiBancomat FrascatiIstituti finanziari FrascatiBanche Frascati,"Via Vittorio Emanuele II, 1, 25030 Trenzano BS, Italy - 25030 Frascati (RM)  ",1062012,030 997 7010,,,
Municipio,Municipi FrascatiUffici Comunali FrascatiAziende Frascati,"Via Coniglio, 7, 25030 Trenzano BS, Italy - 25030 Frascati (RM)  ",1062013,030 997 4358,,,
Comprehensive School Of State Trenzano,Aziende FrascatiScuole Frascati,"Via Don G. Pietta, 2, 25030 Trenzano BS, Italy - 25030 Frascati (RM)  ",1062014,030 997 7029,,,
Fondazione Asilo Infantile Di Trenzano,Aziende FrascatiScuole Frascati,"Piazza 4 Novembre, 2, 25030 Trenzano BS, Italy - 25030 Frascati (RM)  ",1062015,030 997 7038,,,
Volontari Dell'Ambulanza,Aziende Frascati,"Via Coniglio, 13, 25030 Trenzano BS, Italy - 25030 Frascati (RM)  ",1062016,030 997 7860,,,
Tecnosinthesi,Aziende Frascati,"Via Fiume, 6, 25030 Trenzano BS, Italy - 25030 Frascati (RM)  ",1062017,030 997 4721,,,
Rusconi Enrico,Aziende FrascatiErboristerie FrascatiNegozi Frascati,"Via Vittorio Emanuele II, 16, 25030 Trenzano BS, Italy - 25030 Frascati (RM)  ",1062018,030 997 7655,,,
Clinica Veterinaria S. Alessandro Dott. Giugni Giovanni,Aziende FrascatiErboristerie FrascatiVeterinari Frascati,"Via V. Emanuele II, 14/c, 25030 Roncadelle BS, Italy - 25030 Frascati (RM)  ",1062010,030 258 4760,,,
L'Orchidea,Aziende FrascatiNegozi FrascatiFiorai Frascati,"Via Vittorio Veneto, 2, 25030 Trenzano BS, Italy - 25030 Frascati (RM)  ",1062011,335 687 0862,,,
Crucianelli Infissi,Aziende Arcinazzo RomanoNegozi Arcinazzo Romano,"Via dei Velini, 62, 62100 Macerata MC, Italy - 62100 Arcinazzo Romano (RM)  ",1061935,338 487 8615,,,
La casa di Oliva,Aziende Arcinazzo RomanoAlberghi Arcinazzo Romano,"Corso Camillo Benso Conte di Cavour, 24, 62100 Macerata MC, Italy - 62100 Arcinazzo Romano (RM)  ",1061936,,,,
Residence Pallotta,Aziende Arcinazzo RomanoAlberghi Arcinazzo Romano,"Via Guido Pallotta, 10, 62100 Macerata MC, Italy - 62100 Arcinazzo Romano (RM)  ",1061937,393 026 8581,,,
La Primizia,Aziende Arcinazzo RomanoOsterie Arcinazzo RomanoNegozi Arcinazzo Romano,"Corso Camillo Benso Conte di Cavour, 92, 62100 Macerata MC, Italy - 62100 Arcinazzo Romano (RM)  ",1061934,0733 232449,,,
L'Alchimista Di Pierpaolo Camedda,Aziende AgostaRistoranti AgostaOsterie Agosta,"Via Sardegna, 79, 09170 Oristano OR, Italy - 09170 Agosta (RM)  ",1061126,342 376 5609,,,
Permaflex Store,Aziende AgostaNegozi AgostaNegozi di casalinghi AgostaNegozi di arredamento Agosta,"Via Sardegna, 11, 09170 Oristano OR, Italy - 09170 Agosta (RM)  ",1061127,0783 211041,,,
Allianz di Oristano Via Donizetti,Aziende AgostaAgenzie di assicurazione Agosta,"Via Gaetano Donizetti, 22, 09170 Oristano OR, Italy - 09170 Agosta (RM)  ",1061125,0783 211979,,,
Corona Bruno Di Corona Stefano,Aziende AgostaNegozi Agosta,"Via Felice Loffredo, 6, 09170 Oristano OR, Italy - 09170 Agosta (RM)  ",1061124,0783 211240,,,
La casa dell'elfo,Aziende AgostaAlberghi Agosta,"Via Campania, 90, 09170 Oristano OR, Italy - 09170 Agosta (RM)  ",1061123,349 358 7100,,,
Se.Pa.La. Investigazioni,Aziende Agosta,"Via Cagliari, 89, 09170 Oristano OR, Italy - 09170 Agosta (RM)  ",1061121,334 680 8959,,,
Provincia di Oristano,Uffici Comunali AgostaAziende Agosta,"Via Senatore Carboni, 5, 09170 Oristano OR, Italy - 09170 Agosta (RM)  ",1061122,0783 7931,,,
Hostel Rodia,Aziende AgostaAlberghi Agosta,"Viale Repubblica, 09170 Oristano OR, Italy - 09170 Agosta (RM)  ",1061120,0783 251881,,,
B&B Juighissa Leonora,Aziende AgostaAlberghi Agosta,"Via Parpaglia, 31, 09170 Oristano OR, Italy - 09170 Agosta (RM)  ",1061118,333 734 3403,,,
La Terrazza Sul Parco,Aziende AgostaAlberghi Agosta,"Viale Repubblica, 1, 09170 Oristano OR, Italy - 09170 Agosta (RM)  ",1061119,329 191 6676,,,
ACQUARIO DEI FRALLE,Aziende AgostaAlberghi Agosta,"Via Gaetano Donizetti, 22/Interno 12 piano 4, 09170 Oristano OR, Italy - 09170 Agosta (RM)  ",1061112,347 596 4899,,,
Villa Serra B&B iun E6769,Aziende AgostaAlberghi Agosta,"Via Sant'Antonio, 19, 09170 Oristano OR, Italy - 09170 Agosta (RM)  ",1061113,348 736 0124,,,
Sa Corbula,Aziende AgostaRistoranti AgostaOsterie AgostaBar Agosta,"Corso Umberto I, 55, 09170 Oristano OR, Italy - 09170 Agosta (RM)  ",1061114,347 573 6824,,,
Al Ma' Club,Aziende AgostaOsterie AgostaNegozi AgostaTrattorie Agosta,"Via Antonio Gramsci, 11, 09170 Oristano OR, Italy - 09170 Agosta (RM)  ",1061115,339 692 8233,,,
Gbc Elettronica,Aziende AgostaNegozi Agosta,"Via Cagliari, 347, 09170 Oristano OR, Italy - 09170 Agosta (RM)  ",1061116,0783 73422,,,
Studio Ecografico Pinna Dr. Lido,Aziende AgostaErboristerie AgostaMedici Agosta,"Via Michele Pira, 31, 09170 Oristano OR, Italy - 09170 Agosta (RM)  ",1061117,328 617 6850,,,
Hotel Regina D'Arborea,Aziende AgostaAlberghi Agosta,"Piazza Eleonora, 4, 09170 Oristano OR, Italy - 09170 Agosta (RM)  ",1061106,0783 302101,,,
B&B Camera con Vista,Aziende AgostaAlberghi Agosta,"Via XX Settembre, 12, 09170 Oristano OR, Italy - 09170 Agosta (RM)  ",1061107,329 613 6190,,,
B&B Tre,Aziende AgostaAlberghi Agosta,"Via Giacomo Matteotti, 3, 09170 Oristano OR, Italy - 09170 Agosta (RM)  ",1061108,347 432 1658,,,
OD Suites in Town,Aziende AgostaAlberghi Agosta,"Via Giuseppe Mazzini, 36, 09170 Oristano OR, Italy - 09170 Agosta (RM)  ",1061109,340 178 8578,,,
Biblioteca dell'Archivio di Stato di Oristano,Aziende AgostaBiblioteche Agosta,"Via Grazia Deledda, 0, 09170 Oristano OR, Italy - 09170 Agosta (RM)  ",1061110,,,,
Il giardino di Don Peppino,Aziende AgostaAlberghi Agosta,"Via Angioi, 49, 09170 Oristano OR, Italy - 09170 Agosta (RM)  ",1061111,340 790 0003,,,
Hotel Mistral,Aziende AgostaAlberghi Agosta,"Via Martiri di Belfiore, 2, 09170 Oristano OR, Italy - 09170 Agosta (RM)  ",1061101,349 507 6518,,,
Hotel Duomo,Aziende AgostaAlberghi AgostaRistoranti AgostaOsterie Agosta,"Via Vittorio Emanuele II, 34, 09170 Oristano OR, Italy - 09170 Agosta (RM)  ",1061102,0783 778061,,,
Mariano IV Palace Hotel,Aziende AgostaAlberghi AgostaRistoranti AgostaOsterie Agosta,"Piazza Mariano, 50, 09170 Oristano OR, Italy - 09170 Agosta (RM)  ",1061103,0783 360101,,,
Mistral 2 Hotel,Aziende AgostaAlberghi AgostaRistoranti AgostaOsterie Agosta,"Via XX Settembre, 34, 09170 Oristano OR, Italy - 09170 Agosta (RM)  ",1061104,0783 210389,,,
Villa Delle Rose,Aziende AgostaAlberghi AgostaRistoranti AgostaOsterie Agosta,"Piazza Italia, 5, 09170 Oristano OR, Italy - 09170 Agosta (RM)  ",1061105,0783 310101,,,
Tessitura Automatica La Fornace Sas Di Scaglia Rat Fabrizio & C.,Aziende Fonte Nuova,"Area Industriale Sonpiano, Via Noveis, 55, 13867 Pray BI, Italy - 13867 Fonte Nuova (RM)  ",1060620,015 765 5072,,,
Point Service® Autofficina Carrozzeria Modetti Mauro,Aziende Fonte NuovaNegozi Fonte NuovaMeccanici Auto Fonte Nuova,"Via Noveis, 53, 13867 Pray BI, Italy - 13867 Fonte Nuova (RM)  ",1060618,015 767307,,,
Delfran S.R.L.,Aziende Fonte Nuova,"Via Noveis, 57, 13867 Pray BI, Italy - 13867 Fonte Nuova (RM)  ",1060612,015 767497,,,
Mediterranea Surgelati,Aziende Anticoli CorradoOsterie Anticoli CorradoNegozi Anticoli Corrado,"Viale Risorgimento, 32, 64046 Montorio Al Vomano TE, Italy - 64046 Anticoli Corrado (RM)  ",1059265,0861 501054,,,
Autodromo del Gran Sasso srl,Aziende Anticoli Corrado,"Viale Risorgimento, 50, 64046 Montorio Al Vomano TE, Italy - 64046 Anticoli Corrado (RM)  ",1059261,0861 598422,,,
Laterizi Fratelli Di Carlantonio (S.R.L.),Aziende Anticoli CorradoNegozi Anticoli Corrado,"Via Luigi Settembrini, 58, 64046 Montorio Al Vomano TE, Italy - 64046 Anticoli Corrado (RM)  ",1059262,0861 592941,,,
Bruno calzature 1959,Aziende Anticoli CorradoNegozi Anticoli CorradoNegozi di scarpe Anticoli Corrado,"VIa Poliseo de Angelis, 1/11, 64046 Montorio Al Vomano TE, Italy - 64046 Anticoli Corrado (RM)  ",1059263,0861 598613,,,
Di Carlantonio Edilizia (S.R.L.),Aziende Anticoli Corrado,"Via Luigi Settembrini, 58, 64046 Montorio Al Vomano TE, Italy - 64046 Anticoli Corrado (RM)  ",1059264,0861 57123,,,
Tecnoappalti S.R.L.,Aziende Anticoli Corrado,"Via Giacomo Leopardi, 19, 64046 Montorio Al Vomano TE, Italy - 64046 Anticoli Corrado (RM)  ",1059255,0861 592762,,,
La Bottega del Pane Di Arcaini Danilo,Aziende Anticoli CorradoRistoranti Anticoli CorradoOsterie Anticoli CorradoNegozi Anticoli CorradoPanetterie Anticoli Corrado,"Via Antonio Gramsci, 14, 64046 Montorio Al Vomano TE, Italy - 64046 Anticoli Corrado (RM)  ",1059256,0861 591169,,,
Inca - Cgil,Aziende Anticoli Corrado,"19 Via Donato Di Giammarco, Montorio Al Vomano, Te 64046, 64046 Montorio Al Vomano TE, Italy - 64046 Anticoli Corrado (RM)  ",1059257,0861 591016,,,
Ricambi Auto Pomponi Ivo & Co.,Aziende Anticoli CorradoNegozi Anticoli CorradoMeccanici Auto Anticoli Corrado,"Viale Risorgimento, 15, 64046 Montorio Al Vomano TE, Italy - 64046 Anticoli Corrado (RM)  ",1059258,0861 598427,,,
SUN TECNOLOGY SYSTEM SRL,Aziende Anticoli Corrado,"Via Antonio Gramsci, 1, 64046 Montorio Al Vomano TE, Italy - 64046 Anticoli Corrado (RM)  ",1059259,0861 598645,,,
Salumeria Del Parco Di Micacchioni F. & C. s.n.c.,Aziende Anticoli CorradoOsterie Anticoli CorradoNegozi Anticoli Corrado,"Piazza Orsini, 35, 64046 Montorio Al Vomano TE, Italy - 64046 Anticoli Corrado (RM)  ",1059260,0861 592689,,,
Geometric System Srl,Aziende Anticoli Corrado,"Viale Duca degli Abruzzi, 127, 64046 Montorio Al Vomano TE, Italy - 64046 Anticoli Corrado (RM)  ",1059250,0861 598491,,,
Euracciai Srl,Aziende Anticoli Corrado,"Snc, 64046, Via Piane, 64046 Montorio Al Vomano TE, Italy - 64046 Anticoli Corrado (RM)  ",1059251,0861 592555,,,
Istituto di Bellezza Furore,Aziende Anticoli CorradoSaloni di Bellezza Anticoli Corrado,"Corso G.Valentini, 112, 64046 Montorio al Vomano TE, Italy - 64046 Anticoli Corrado (RM)  ",1059252,342 568 9413,,,
Toto',Aziende Anticoli CorradoRistoranti Anticoli CorradoOsterie Anticoli Corrado,"Via Antonio Gramsci, 3, 64046 Montorio Al Vomano TE, Italy - 64046 Anticoli Corrado (RM)  ",1059253,0861 598508,,,
Comunità Montana del Gran Sasso,Municipi Anticoli CorradoUffici Comunali Anticoli CorradoAziende Anticoli Corrado,"Largo Rosciano, 7, 64046 Montorio al Vomano TE, Italy - 64046 Anticoli Corrado (RM)  ",1059254,0861 500273,,,
Hotel Vomano,Aziende Anticoli CorradoAlberghi Anticoli Corrado,"Viale Risorgimento, 113, 64046 Montorio al Vomano TE, Italy - 64046 Anticoli Corrado (RM)  ",1059247,0861 598498,,,
Itas Mutua Società Capogruppo,Aziende Anticoli CorradoAgenzie di assicurazione Anticoli Corrado,"Corso G.Valentini, 36, 64046 Montorio Al Vomano TE, Italy - 64046 Anticoli Corrado (RM)  ",1059248,0861 501010,,,
Passa un Attimo da Me... Centro Estetico,Aziende Anticoli CorradoErboristerie Anticoli CorradoTerme Anticoli CorradoSaloni di Bellezza Anticoli Corrado,"Largo Rosciano, 66, 64046 Montorio Al Vomano TE, Italy - 64046 Anticoli Corrado (RM)  ",1059249,346 150 1990,,,
Caf Coldiretti - Impresa Verde Marche S.R.L.,Aziende Arcinazzo Romano,"Via dei Velini, 62100 Macerata MC, Italy - 62100 Arcinazzo Romano (RM)  ",1058989,0733 2441,,,
Il Laboratorio Dei Sapori,Aziende Arcinazzo RomanoRistoranti Arcinazzo RomanoOsterie Arcinazzo Romano,"Viale dell'Indipendenza, 61, 62100 Macerata MC, Italy - 62100 Arcinazzo Romano (RM)  ",1058986,0733 264820,,,
Bulgherini Ascensori Srl,Aziende Arcinazzo Romano,"Via Pellegrino Tibaldi, 65, 62100 Macerata MC, Italy - 62100 Arcinazzo Romano (RM)  ",1058987,0733 31339,,,
Cornici Blarasin Macerata,Aziende Arcinazzo RomanoNegozi Arcinazzo Romano,"Corso Camillo Benso Conte di Cavour, 131, 62100 Macerata MC, Italy - 62100 Arcinazzo Romano (RM)  ",1058988,0733 262026,,,
Agenzia UnipolSai Macerata MC Consulting,Aziende Arcinazzo RomanoAgenzie di assicurazione Arcinazzo Romano,"Via N. Piccinino, 18, 62100 Macerata MC, Italy - 62100 Arcinazzo Romano (RM)  ",1058984,0733 27921,,,
I.f.i. srl,Aziende Arcinazzo RomanoIstituti finanziari Arcinazzo RomanoUniversità Arcinazzo Romano,"Via Ghino Valenti, 51, 62100 Macerata MC, Italy - 62100 Arcinazzo Romano (RM)  ",1058985,0733 30660,,,
Best Western Hotel I Colli Macerata,Aziende Arcinazzo RomanoAlberghi Arcinazzo Romano,"Via Roma, 151, 62100 Macerata MC, Italy - 62100 Arcinazzo Romano (RM)  ",1058983,0733 367063,,,
B&B Casa Cettina,Aziende Arcinazzo RomanoAlberghi Arcinazzo Romano,"Via Antonio Piani, 46, 62100 Macerata MC, Italy - 62100 Arcinazzo Romano (RM)  ",1058982,347 374 0121,,,
Pulimagik Service Srl,Aziende Fiano Romano,"Via Castello, 7, 24060 Torre De' Roveri BG, Italy - 24060 Fiano Romano (RM)  ",1058391,035 452 1201,,,
